Column,ID #1,Type,QuestionText,AnswerText
132,PromotionIndexSocial_Quartile,S,PromotionIndexSocial_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Social domain. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
133,PromotionIndexSpiritual,F,PromotionIndexSpiritual: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Spiritual domain. Indicates net positive engagement (0-1).,
134,PromotionIndexSpiritual_Quartile,S,PromotionIndexSpiritual_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Spiritual domain. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
135,PromotionIndexSafety,F,PromotionIndexSafety: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Safety'. Indicates net positive engagement (0-1).,
136,PromotionIndexSafety_Quartile,S,PromotionIndexSafety_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Safety'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
137,PromotionIndexAuthenticity,F,PromotionIndexAuthenticity: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Authenticity'. Indicates net positive engagement (0-1).,
138,PromotionIndexAuthenticity_Quartile,S,PromotionIndexAuthenticity_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Authenticity'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
139,PromotionIndexPotential,F,PromotionIndexPotential: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Potential'. Indicates net positive engagement (0-1).,
140,PromotionIndexPotential_Quartile,S,PromotionIndexPotential_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Potential'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
141,PromotionIndexAutonomy,F,PromotionIndexAutonomy: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Autonomy'. Indicates net positive engagement (0-1).,
142,PromotionIndexAutonomy_Quartile,S,PromotionIndexAutonomy_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Autonomy'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
143,PromotionIndexImmersion,F,PromotionIndexImmersion: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Immersion'. Indicates net positive engagement (0-1).,
144,PromotionIndexImmersion_Quartile,S,PromotionIndexImmersion_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Immersion'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
145,PromotionIndexSuccess,F,PromotionIndexSuccess: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Success'. Indicates net positive engagement (0-1).,
146,PromotionIndexSuccess_Quartile,S,PromotionIndexSuccess_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Success'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
147,PromotionIndexInclusion,F,PromotionIndexInclusion: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Inclusion'. Indicates net positive engagement (0-1).,
148,PromotionIndexInclusion_Quartile,S,PromotionIndexInclusion_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Inclusion'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
149,PromotionIndexCaring,F,PromotionIndexCaring: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Caring'. Indicates net positive engagement (0-1).,
150,PromotionIndexCaring_Quartile,S,PromotionIndexCaring_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Caring'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
151,PromotionIndexRecognition,F,PromotionIndexRecognition: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Recognition'. Indicates net positive engagement (0-1).,
152,PromotionIndexRecognition_Quartile,S,PromotionIndexRecognition_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Recognition'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
153,PromotionIndexJustice,F,PromotionIndexJustice: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Justice'. Indicates net positive engagement (0-1).,
154,PromotionIndexJustice_Quartile,S,PromotionIndexJustice_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Justice'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
155,PromotionIndexEthics,F,PromotionIndexEthics: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Ethics'. Indicates net positive engagement (0-1).,
156,PromotionIndexEthics_Quartile,S,PromotionIndexEthics_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Ethics'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
157,PromotionIndexPurpose,F,PromotionIndexPurpose: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Purpose'. Indicates net positive engagement (0-1).,
158,PromotionIndexPurpose_Quartile,S,PromotionIndexPurpose_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across the need 'Purpose'. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
159,WellbeingOverall,F,WellbeingOverall: Normalized composite (0-1) measuring perceived fulfillment of All 12 needs. Combines activation magnitude and promotion-prevention balance.,
160,WellbeingOverall_Quartile,S,WellbeingOverall_Quartile: Normalized composite (0-1) measuring perceived fulfillment of All 12 needs. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
161,WellbeingFoundational,F,WellbeingFoundational: Normalized composite (0-1) measuring perceived fulfillment of Foundational-level needs. Combines activation magnitude and promotion-prevention balance.,
162,WellbeingFoundational_Quartile,S,WellbeingFoundational_Quartile: Normalized composite (0-1) measuring perceived fulfillment of Foundational-level needs. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
163,WellbeingExperiential,F,WellbeingExperiential: Normalized composite (0-1) measuring perceived fulfillment of Experiential-level needs. Combines activation magnitude and promotion-prevention balance.,
164,WellbeingExperiential_Quartile,S,WellbeingExperiential_Quartile: Normalized composite (0-1) measuring perceived fulfillment of Experiential-level needs. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
165,WellbeingAspirational,F,WellbeingAspirational: Normalized composite (0-1) measuring perceived fulfillment of Aspirational-level needs. Combines activation magnitude and promotion-prevention balance.,
166,WellbeingAspirational_Quartile,S,WellbeingAspirational_Quartile: Normalized composite (0-1) measuring perceived fulfillment of Aspirational-level needs. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
167,WellbeingSelf,F,WellbeingSelf: Normalized composite (0-1) measuring perceived fulfillment of Self domain. Combines activation magnitude and promotion-prevention balance.,
168,WellbeingSelf_Quartile,S,WellbeingSelf_Quartile: Normalized composite (0-1) measuring perceived fulfillment of Self domain. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
169,WellbeingMaterial,F,WellbeingMaterial: Normalized composite (0-1) measuring perceived fulfillment of Material domain. Combines activation magnitude and promotion-prevention balance.,
170,WellbeingMaterial_Quartile,S,WellbeingMaterial_Quartile: Normalized composite (0-1) measuring perceived fulfillment of Material domain. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
171,WellbeingSocial,F,WellbeingSocial: Normalized composite (0-1) measuring perceived fulfillment of Social domain. Combines activation magnitude and promotion-prevention balance.,
172,WellbeingSocial_Quartile,S,WellbeingSocial_Quartile: Normalized composite (0-1) measuring perceived fulfillment of Social domain. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
173,WellbeingSpiritual,F,WellbeingSpiritual: Normalized composite (0-1) measuring perceived fulfillment of Spiritual domain. Combines activation magnitude and promotion-prevention balance.,
174,WellbeingSpiritual_Quartile,S,WellbeingSpiritual_Quartile: Normalized composite (0-1) measuring perceived fulfillment of Spiritual domain. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
175,WellbeingSafety,F,WellbeingSafety: Normalized composite (0-1) measuring perceived fulfillment of the need 'Safety'. Combines activation magnitude and promotion-prevention balance.,
176,WellbeingSafety_Quartile,S,WellbeingSafety_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Safety'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
177,WellbeingAuthenticity,F,WellbeingAuthenticity: Normalized composite (0-1) measuring perceived fulfillment of the need 'Authenticity'. Combines activation magnitude and promotion-prevention balance.,
178,WellbeingAuthenticity_Quartile,S,WellbeingAuthenticity_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Authenticity'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
179,WellbeingPotential,F,WellbeingPotential: Normalized composite (0-1) measuring perceived fulfillment of the need 'Potential'. Combines activation magnitude and promotion-prevention balance.,
180,WellbeingPotential_Quartile,S,WellbeingPotential_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Potential'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
181,WellbeingAutonomy,F,WellbeingAutonomy: Normalized composite (0-1) measuring perceived fulfillment of the need 'Autonomy'. Combines activation magnitude and promotion-prevention balance.,
182,WellbeingAutonomy_Quartile,S,WellbeingAutonomy_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Autonomy'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
183,WellbeingImmersion,F,WellbeingImmersion: Normalized composite (0-1) measuring perceived fulfillment of the need 'Immersion'. Combines activation magnitude and promotion-prevention balance.,
184,WellbeingImmersion_Quartile,S,WellbeingImmersion_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Immersion'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
185,WellbeingSuccess,F,WellbeingSuccess: Normalized composite (0-1) measuring perceived fulfillment of the need 'Success'. Combines activation magnitude and promotion-prevention balance.,
186,WellbeingSuccess_Quartile,S,WellbeingSuccess_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Success'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
187,WellbeingInclusion,F,WellbeingInclusion: Normalized composite (0-1) measuring perceived fulfillment of the need 'Inclusion'. Combines activation magnitude and promotion-prevention balance.,
188,WellbeingInclusion_Quartile,S,WellbeingInclusion_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Inclusion'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
189,WellbeingCaring,F,WellbeingCaring: Normalized composite (0-1) measuring perceived fulfillment of the need 'Caring'. Combines activation magnitude and promotion-prevention balance.,
190,WellbeingCaring_Quartile,S,WellbeingCaring_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Caring'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
191,WellbeingRecognition,F,WellbeingRecognition: Normalized composite (0-1) measuring perceived fulfillment of the need 'Recognition'. Combines activation magnitude and promotion-prevention balance.,
192,WellbeingRecognition_Quartile,S,WellbeingRecognition_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Recognition'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
193,WellbeingJustice,F,WellbeingJustice: Normalized composite (0-1) measuring perceived fulfillment of the need 'Justice'. Combines activation magnitude and promotion-prevention balance.,
194,WellbeingJustice_Quartile,S,WellbeingJustice_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Justice'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
195,WellbeingEthics,F,WellbeingEthics: Normalized composite (0-1) measuring perceived fulfillment of the need 'Ethics'. Combines activation magnitude and promotion-prevention balance.,
196,WellbeingEthics_Quartile,S,WellbeingEthics_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Ethics'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
197,WellbeingPurpose,F,WellbeingPurpose: Normalized composite (0-1) measuring perceived fulfillment of the need 'Purpose'. Combines activation magnitude and promotion-prevention balance.,
198,WellbeingPurpose_Quartile,S,WellbeingPurpose_Quartile: Normalized composite (0-1) measuring perceived fulfillment of the need 'Purpose'. Combines activation magnitude and promotion-prevention balance.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
